field	filter	public_value	code	swedish	english	synonyms	comments	ices_biology	ices_physical_and_chemical	source
platform_code		77NE	77NE	Nereus (ICES)	Nereus (ICES)	24				translate_SHIPC
platform_code		77NJ	77NJ	NJORD (ICES)	NJORD (ICES)					translate_SHIPC
platform_code		77NP	77NP	NEPTUNUS AF TAEBY (ICES)	NEPTUNUS AF TAEBY (ICES)					translate_SHIPC
platform_code		77NS	77NS	KBV201 (ICES)	KBV201 (ICES)					translate_SHIPC
platform_code		77NT	77NT	ANHOLT (ICES)	ANHOLT (ICES)					translate_SHIPC
platform_code		77NV	77NV	Örlogsfartyg (ICES)	Naval Vessels (ICES)					translate_SHIPC
platform_code		77ON	77ON	ORION (ICES)	ORION (ICES)					translate_SHIPC
platform_code		77OR	77OR	Olands Rev (ICES)	Olands Rev (ICES)					translate_SHIPC
platform_code		77OS	77OS	OSKARSGRUNDET (ICES)	OSKARSGRUNDET (ICES)					translate_SHIPC
platform_code		77PA	77PA	PARALLA (ICES)	PARALLA (ICES)					translate_SHIPC
platform_code		77PN	77PN	PATER NOSTER (ICES)	PATER NOSTER (ICES)					translate_SHIPC
platform_code		77RA	77RA	RIMBAUD (ICES)	RIMBAUD (ICES)					translate_SHIPC
platform_code		77RN	77RN	RAN (ICES)	RAN (ICES)					translate_SHIPC
platform_code		77SA	77SA	Scandica (ICES)	Scandica (ICES)					translate_SHIPC
platform_code		77SB	77SB	SVINBADAN (ICES)	SVINBADAN (ICES)					translate_SHIPC
platform_code		77SC	77SC	Svanic (ICES)	Svanic (ICES)	15				translate_SHIPC
platform_code		77SG	77SG	SKAGGALD (ICES)	SKAGGALD (ICES)					translate_SHIPC
platform_code		77SH	77SH	SHUTTLE KARLSTAD (ICES)	SHUTTLE KARLSTAD (ICES)					translate_SHIPC
platform_code		77SI	77SI	Sensorita (ICES)	Sensorita (ICES)	30				translate_SHIPC
platform_code		77SK	77SK	Skagerak (ICES)	Skagerak (ICES)	11				translate_SHIPC
platform_code		77SL	77SL	Sabella (ICES)	Sabella (ICES)	S,L				translate_SHIPC
platform_code		77SN	77SN	Sensor (ICES)	Sensor (ICES)	18<or>7718				translate_SHIPC
platform_code		77SP	77SP	LEVERANTÖR (ICES)	SUPPLIER (ICES)					translate_SHIPC
platform_code		77SR	77SR	SEGERO (ICES)	SEGERO (ICES)					translate_SHIPC
platform_code		77SS	77SS	SVENSKUND (ICES)	SVENSKUND (ICES)					translate_SHIPC
platform_code		77ST	77ST	Sea Terrier (ICES)	Sea Terrier (ICES)	87				translate_SHIPC
platform_code		77SU	77SU	Havsmätare (ICES)	Ocean Surveyor (ICES)					translate_SHIPC
platform_code		77SV	77SV	SVENSKA BJORN (ICES)	SVENSKA BJORN (ICES)					translate_SHIPC
platform_code		77SY	77SY	SYDOSBROTTEN (ICES)	SYDOSBROTTEN (ICES)					translate_SHIPC
platform_code		77SX	77SX	Scoter BD-län (SMHI)	Scoter BD-län (SMHI)					translate_SHIPC
platform_code		77SZ	77SZ	Svenska fartyg (SMHI)	Swedish Vessels (SMHI)					translate_SHIPC
platform_code		77T1	77T1	TV102 (ICES)	TV102 (ICES)					translate_SHIPC
platform_code		77T2	77T2	TV256 (ICES)	TV256 (ICES)					translate_SHIPC
platform_code		77T3	77T3	TV253 (ICES)	TV253 (ICES)					translate_SHIPC
platform_code		77T4	77T4	TV244 (ICES)	TV244 (ICES)					translate_SHIPC
platform_code		77T5	77T5	TV116 (ICES)	TV116 (ICES)					translate_SHIPC
platform_code		77T6	77T6	TV 216 (ICES)	TV 216 (ICES)					translate_SHIPC
platform_code		77T7	77T7	TV277 (ICES)	TV277 (ICES)					translate_SHIPC
platform_code		77T8	77T8	TV172 (ICES)	TV172 (ICES)					translate_SHIPC
platform_code		77T9	77T9	TV284 (ICES)	TV284 (ICES)					translate_SHIPC
